             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7300717  largemem wrfD3-02 xiangyuj CG      32:54      1 cpn-f07-34
           7339134 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339136 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339137 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339142 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339143 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339147 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339191 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339192 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339193 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339213 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339214 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339281 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339282 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339283 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339286 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339288 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339289 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339290 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339295 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339296 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339298 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339299 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339302 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339303 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339304 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339305 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339306 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339307 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339308 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339309 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339310 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339313 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339314 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339315 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339316 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339317 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339320 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339322 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339323 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339326 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339327 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
           7339328 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339336 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339337 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339342 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339345 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339346 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339553 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339559 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7339563 general-c COOH4_fg yudhajit PD       0:00      1 (Priority)
           7328120  largemem 134-acet adamphil  R 1-20:01:02      2 cpn-f07-[05,13]
           7328207  largemem acetone- adamphil  R 1-18:43:17      2 cpn-f07-[22,26]
           7338275       gpu  Gf_26_3   hanwen  R   12:01:58      1 cpn-k05-31-01
           7337024       gpu  Gf_23_3   hanwen  R   15:32:17      1 cpn-k06-20-01
           7337032       gpu  Gf_27_3   hanwen  R   15:25:07      1 cpn-k05-11-01
           7338272       gpu  Gf_24_3   hanwen  R   12:12:58      1 cpn-k06-31-01
           7338239       gpu 4t_5_r19   hanwen  R   12:28:43      1 cpn-k06-20-02
           7328190       gpu 4t_3_r30   hanwen  R 1-18:57:47      1 cpn-k06-21-02
           7338522 general-c ash3d_19   qyang5  R   10:10:17      6 cpn-k08-39-02,cpn-k10-12-02,cpn-k11-29-01,cpn-k11-40-02,cpn-k14-12-02,cpn-k14-17-01
           7332870 general-c  MS-v8-5 mdiazara  R   18:27:08      1 cpn-f16-07
           7333094 general-c  MS-v8-6 mdiazara  R   16:59:19      1 cpn-f16-09
           7334224       viz           obsimon  R   18:21:49      1 viz-f11-22
           7339569 general-c perlCCDS     eau3  R       5:32      1 cpn-k07-07-01
           7339570 general-c perlCCDS     eau3  R       5:32      1 cpn-k08-24-01
           7339571 general-c perlCCDS     eau3  R       5:32      1 cpn-k11-39-02
           7339572 general-c perlCCDS     eau3  R       5:32      1 cpn-k13-38-01
           7332677       viz               a26  R   22:40:15      1 viz-f11-22
           7338579 general-c    cifar tianlema  R    9:40:11      1 cpn-k10-03-01
           7338489 general-c     tiny tianlema  R   10:20:25      1 cpn-k10-18-01
           7332855       viz              gav4  R   22:18:34      1 viz-m22-07
           7329141 general-c RefNew_E zhixuanc  R 1-15:05:17      2 cpn-k07-04-01,cpn-k07-06-02
           7332882 general-c RefNew_E zhixuanc  R   20:56:05      2 cpn-k10-38-02,cpn-k16-15-01
           7334514 general-c PDC-M-01    ms428  R   18:08:43      2 cpn-k10-37-02,cpn-k14-13-01
           7334530 general-c PDC-E-01    ms428  R   18:06:40      2 cpn-f16-[37-38]
           7339546 general-c untreate rjdamian  R      12:48      4 cpn-k07-08-01,cpn-k10-07-01,cpn-k10-17-02,cpn-k16-05-01
           7336966 general-c 17treate npaliwal  R   16:27:20      4 cpn-k11-34-01,cpn-k14-34-01,cpn-k14-40-02,cpn-k16-36-02
           7333123 general-c runFilte     jmdv  R   14:43:23      1 cpn-f16-17
           7320655 general-c  ngdmft3 jiajunli  R 2-15:38:51      1 cpn-d07-15-02
           7320656 general-c  ngdmft2 jiajunli  R 2-15:38:51      1 cpn-d07-15-02
           7320657 general-c  ngdmft5 jiajunli  R 2-15:38:51      1 cpn-d07-16-01
           7320658 general-c  ngdmft4 jiajunli  R 2-15:38:51      1 cpn-d07-16-02
           7320654 general-c  ngdmft1 jiajunli  R 2-15:38:54      1 cpn-d07-15-02
           7328490 general-c  ngdmft6 jiajunli  R 1-16:47:40      1 cpn-d14-14
           7328491 general-c  ngdmft7 jiajunli  R 1-16:47:21      1 cpn-d15-31
           7328367 general-c runFilte     jmdv  R 1-14:55:46      1 cpn-f16-08
           7324642 general-c openfoam    jhao2  R 2-08:59:34      1 cpn-f16-13
           7338440 general-c   HIZ_12 mriganka  R   10:42:33      1 cpn-k13-06-02
           7325282 general-c rD10S20N kgvansly  R 2-01:44:19      1 cpn-k11-37-02
           7325280 general-c rD2S4N20 kgvansly  R 2-01:52:20      1 cpn-d09-18-01
           7325279 general-c rD2S8N20 kgvansly  R 2-01:54:21      1 cpn-d16-02
           7325275 general-c rD10S40N kgvansly  R 2-01:58:22      1 cpn-d09-13-02
           7325276 general-c rD2S8N20 kgvansly  R 2-01:58:22      1 cpn-k10-06-01
           7325277 general-c rD2S8N50 kgvansly  R 2-01:58:22      1 cpn-f16-33
           7325278 general-c rD10S40N kgvansly  R 2-01:58:22      1 cpn-f16-33
           7325274 general-c rD10S20N kgvansly  R 2-02:00:22      1 cpn-k16-40-02
           7325273 general-c rD2S4N50 kgvansly  R 2-02:02:23      1 cpn-d15-19
           7325272 general-c rD5S10N5 kgvansly  R 2-02:12:25      1 cpn-d15-08
           7325271 general-c rD10S40N kgvansly  R 2-02:14:25      1 cpn-d14-30
           7325269 general-c rD2S4N20 kgvansly  R 2-02:16:26      1 cpn-d16-37
           7325270 general-c rD5S20N5 kgvansly  R 2-02:16:26      1 cpn-k14-14-02
           7325268 general-c rD10S40N kgvansly  R 2-02:18:27      1 cpn-k08-38-02
           7325267 general-c rD10S20N kgvansly  R 2-02:20:27      1 cpn-d15-11
           7325264 general-c rD5S10N2 kgvansly  R 2-02:22:28      1 cpn-d15-28
           7325265 general-c rD5S20N5 kgvansly  R 2-02:22:28      1 cpn-k05-12-02
           7325266 general-c rD2S4N50 kgvansly  R 2-02:22:28      1 cpn-k06-40-02
           7325262 general-c rD2S8N50 kgvansly  R 2-02:24:28      1 cpn-d14-06
           7325263 general-c rD10S20N kgvansly  R 2-02:24:28      1 cpn-d15-21
           7325261 general-c rD5S20N2 kgvansly  R 2-02:26:29      1 cpn-k11-36-02
           7325255 general-c rD10S40N kgvansly  R 2-02:28:30      1 cpn-k13-26-02
           7325256 general-c rD5S20N5 kgvansly  R 2-02:28:30      1 cpn-k13-37-02
           7325257 general-c rD2S4N20 kgvansly  R 2-02:28:30      1 cpn-k16-39-01
           7325258 general-c rD10S20N kgvansly  R 2-02:28:30      1 cpn-k16-39-02
           7325259 general-c rD5S10N2 kgvansly  R 2-02:28:30      1 cpn-f16-30
           7325260 general-c rD2S4N50 kgvansly  R 2-02:28:30      1 cpn-f16-30
           7325253 general-c rD5S10N5 kgvansly  R 2-02:28:31      1 cpn-d09-07-02
           7325252 general-c rD5S10N2 kgvansly  R 2-02:32:32      1 cpn-d07-38-02
           7325251 general-c rD2S8N50 kgvansly  R 2-02:34:32      1 cpn-d16-40
           7325247 general-c rD5S10N5 kgvansly  R 2-02:36:33      1 cpn-d14-22
           7325248 general-c rD5S20N2 kgvansly  R 2-02:36:33      1 cpn-k10-27-01
           7325249 general-c rD2S8N20 kgvansly  R 2-02:36:33      1 cpn-f16-28
           7325250 general-c rD5S20N2 kgvansly  R 2-02:36:33      1 cpn-k05-39-02
           7328015 general-c      eel mohsenda  R 1-17:16:21     40 cpn-k08-35-[01-02],cpn-k08-36-[01-02],cpn-k08-37-01,cpn-k08-38-01,cpn-k10-01-01,cpn-k10-04-01,cpn-k10-06-02,cpn-k10-16-02,cpn-k10-17-01,cpn-k10-23-02,cpn-k10-24-01,cpn-k10-28-01,cpn-k10-29-[01-02],cpn-k10-30-01,cpn-k10-34-02,cpn-k10-39-02,cpn-k10-40-02,cpn-k11-23-02,cpn-k11-27-02,cpn-k11-28-02,cpn-k11-30-02,cpn-k11-35-02,cpn-k13-06-01,cpn-k13-13-01,cpn-k13-14-01,cpn-k13-19-02,cpn-k13-26-01,cpn-k13-36-01,cpn-k13-37-01,cpn-k13-39-01,cpn-k13-40-02,cpn-k14-01-02,cpn-k14-26-02,cpn-k14-27-01,cpn-k14-28-02,cpn-k16-03-01,cpn-k16-14-02
           7336575 general-c  wg1_185 rutaoyao  R   16:52:17      1 cpn-d07-31-01
           7336915 general-c  wg3_160 rutaoyao  R   16:31:32      1 cpn-d07-10-01
           7336894 general-c  wg3_139 rutaoyao  R   16:35:43      1 cpn-f16-32
           7336527 general-c  wg1_142 rutaoyao  R   16:56:28      1 cpn-k08-05-01
           7336856 general-c  wg3_103 rutaoyao  R   16:37:46      1 cpn-k16-02-02
           7336869 general-c  wg3_116 rutaoyao  R   16:37:46      1 cpn-k16-39-02
           7336511 general-c  wg1_126 rutaoyao  R   16:58:33      1 cpn-k14-19-02
           7336759 general-c    wg3_6 rutaoyao  R   16:50:14      1 cpn-k16-02-02
           7336753 general-c    wg3_0 rutaoyao  R   16:50:15      1 cpn-k13-39-02
           7336442 general-c   wg1_63 rutaoyao  R   17:04:50      1 cpn-d07-19-02
           7335583 general-c  wg5_146 rutaoyao  R   17:27:50      1 cpn-d07-07-02
           7335540 general-c  wg5_111 rutaoyao  R   17:31:58      1 cpn-d15-07
           7326081 general-c ungrib-2 xiangyuj  R 1-22:25:22      1 cpn-d09-13-01
           7339331 general-c     tcsh rutaoyao  R      58:20      1 cpn-d14-09
           7325765 general-c fastq-du     jw24  R 2-00:32:03      1 cpn-d14-09
           7325766 general-c fastq-du     jw24  R 2-00:32:03      1 cpn-d14-09
           7325767 general-c fastq-du     jw24  R 2-00:32:03      1 cpn-d14-09
           7325768 general-c fastq-du     jw24  R 2-00:32:03      1 cpn-d14-09
           7325769 general-c fastq-du     jw24  R 2-00:32:03      1 cpn-d15-22
           7331445 general-c star2_SR     jw24  R 1-00:15:10      1 cpn-k13-23-02
           7331435 general-c star2_SR     jw24  R 1-00:25:15      1 cpn-k13-27-01
           7331415 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-d09-25-01
           7331416 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-d09-25-01
           7331417 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-d09-25-01
           7331418 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-d09-25-01
           7331419 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-d09-25-01
           7331421 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-k07-01-02
           7331422 general-c fastq-du     jw24  R 1-00:47:19      1 cpn-k07-01-02
           7331393 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-09
           7331394 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-14
           7331395 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-14
           7331396 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-14
           7331397 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-14
           7331398 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d14-14
           7331399 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-22
           7331400 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-22
           7331401 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-38
           7331402 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-38
           7331403 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-38
           7331404 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-38
           7331405 general-c fastq-du     jw24  R 1-00:49:19      1 cpn-d15-38
           7339386 general-c fastq-du     jw24  R       2:04      1 cpn-d15-31
           7339385 general-c fastq-du     jw24  R       2:16      1 cpn-d14-32
           7339384 general-c fastq-du     jw24  R       5:04      1 cpn-d15-01
           7339383 general-c fastq-du     jw24  R       6:43      1 cpn-d07-10-01
           7339381 general-c fastq-du     jw24  R      12:43      1 cpn-k14-28-01
           7339382 general-c fastq-du     jw24  R      12:43      1 cpn-k14-28-01
           7339380 general-c fastq-du     jw24  R      16:48      1 cpn-d09-18-02
           7339377 general-c fastq-du     jw24  R      18:49      1 cpn-f16-29
           7339378 general-c fastq-du     jw24  R      18:49      1 cpn-f16-29
           7339379 general-c fastq-du     jw24  R      18:49      1 cpn-k05-20-02
           7339376 general-c fastq-du     jw24  R      26:53      1 cpn-d07-26-02
           7339374 general-c fastq-du     jw24  R      28:54      1 cpn-f16-19
           7339375 general-c fastq-du     jw24  R      28:54      1 cpn-f16-19
           7339372 general-c fastq-du     jw24  R      31:18      1 cpn-k08-08-01
           7339373 general-c fastq-du     jw24  R      31:18      1 cpn-k08-08-01
           7339371 general-c fastq-du     jw24  R      31:25      1 cpn-d16-12
           7339369 general-c fastq-du     jw24  R      32:08      1 cpn-k07-08-02
           7339370 general-c fastq-du     jw24  R      32:08      1 cpn-k07-08-02
           7339367 general-c fastq-du     jw24  R      33:05      1 cpn-k13-41-02
           7339368 general-c fastq-du     jw24  R      33:05      1 cpn-k13-41-02
           7339353 general-c fastq-du     jw24  R      33:55      1 cpn-d07-16-02
           7339354 general-c fastq-du     jw24  R      33:55      1 cpn-d07-19-02
           7339355 general-c fastq-du     jw24  R      33:55      1 cpn-d07-31-01
           7339356 general-c fastq-du     jw24  R      33:55      1 cpn-k08-05-01
           7339357 general-c fastq-du     jw24  R      33:55      1 cpn-k14-19-02
           7339358 general-c fastq-du     jw24  R      33:55      1 cpn-k16-02-02
           7339359 general-c fastq-du     jw24  R      33:55      1 cpn-f16-03
           7339360 general-c fastq-du     jw24  R      33:55      1 cpn-f16-16
           7339361 general-c fastq-du     jw24  R      33:55      1 cpn-f16-32
           7339362 general-c fastq-du     jw24  R      33:55      1 cpn-f16-32
           7339363 general-c fastq-du     jw24  R      33:55      1 cpn-f16-37
           7339364 general-c fastq-du     jw24  R      33:55      1 cpn-f16-38
           7339365 general-c fastq-du     jw24  R      33:55      1 cpn-f16-39
           7339366 general-c fastq-du     jw24  R      33:55      1 cpn-k05-20-02
           7339352 general-c fastq-du     jw24  R      33:58      1 cpn-d07-16-01
           7339344 general-c fastq-du     jw24  R      40:18      1 cpn-d15-07
           7327758 general-c S32_hole pavankum  R 1-16:32:51      4 cpn-k07-02-01,cpn-k07-03-02,cpn-k08-12-02,cpn-k08-13-01
           7327732 general-c S28_hole pavankum  R 1-16:49:22      4 cpn-k08-24-02,cpn-k08-27-02,cpn-k08-34-02,cpn-k08-39-01
           7331055 general-c ads-O-7L pavankum  R 1-07:25:39      8 cpn-k07-06-01,cpn-k08-17-01,cpn-k08-25-01,cpn-k08-37-02,cpn-k11-41-01,cpn-k13-02-01,cpn-k13-08-02,cpn-k13-12-02
           7339335 general-c    test8 jameshoo  R      50:22      6 cpn-d14-[05,08,16,21,29,31]
           7339099 general-c    test8 jameshoo  R    4:15:24      6 cpn-k07-01-02,cpn-k10-01-02,cpn-k10-30-02,cpn-k11-24-02,cpn-k11-35-01,cpn-k13-01-02
           7339100 general-c    test8 jameshoo  R    4:13:23      6 cpn-k07-04-02,cpn-k10-37-01,cpn-k13-08-01,cpn-k13-15-01,cpn-k13-19-01,cpn-k13-39-02
           7336961       viz          rjdamian  R   16:43:01      1 viz-m22-07
           7331296 general-c    test8 jameshoo  R 1-05:28:17      4 cpn-k07-05-02,cpn-k07-07-02,cpn-k07-13-01,cpn-k10-05-02
           7331297 general-c    test8 jameshoo  R 1-05:28:17      4 cpn-f16-[03,16,28,39]
           7339330 general-c 100GPa_P tiangebi  R      56:17      1 cpn-k10-19-02
           7339329 general-c 100GPa_P tiangebi  R    1:01:34      1 cpn-k16-26-01
           7339338 general-c 100GPa_P tiangebi  R      50:57      1 cpn-d15-10
           7339300 general-c 100GPa_P tiangebi  R    1:47:02      1 cpn-d16-14
           7339350 general-c 100GPa_P tiangebi  R      35:14      1 cpn-d15-06
           7339343 general-c 100GPa_P tiangebi  R      41:11      1 cpn-d09-17-02
           7339341 general-c 100GPa_P tiangebi  R      43:26      1 cpn-d07-30-02
           7339340 general-c 100GPa_P tiangebi  R      46:38      1 cpn-k13-24-02
           7339291 general-c 100GPa_P tiangebi  R    2:03:04      1 cpn-k14-07-01
           7339047 general-c 100GPa_P tiangebi  R    4:41:39      1 cpn-d09-27-02
           7338881 general-c 100GPa_P tiangebi  R    5:58:22      1 cpn-d09-38-01
           7331467 general-c      q4d    arall  R   22:32:35      6 cpn-k08-01-02,cpn-k13-28-02,cpn-k14-16-02,cpn-k14-29-02,cpn-k14-34-02,cpn-k14-35-02
           7331427 general-c    q3q4d    arall  R   22:54:42      6 cpn-k10-13-02,cpn-k11-25-02,cpn-k13-01-01,cpn-k14-30-[01-02],cpn-k14-36-02
           7333955 general-c      4sp    arall  R   15:41:20      4 cpn-k08-16-01,cpn-k10-24-02,cpn-k11-37-01,cpn-k14-01-01
           7336967 general-c      4dp    arall  R   14:47:30      4 cpn-k11-27-01,cpn-k11-28-01,cpn-k11-41-02,cpn-k13-12-01
           7333949 general-c      4dv    arall  R   16:56:28      4 cpn-k08-18-01,cpn-k08-23-02,cpn-k10-12-01,cpn-k10-35-02
           7333049 general-c     sssv    arall  R   16:54:24      2 cpn-k14-12-01,cpn-k16-12-01
           7337118 general-c c4_dr_r1  xliang5  R   12:13:46      4 cpn-k10-28-02,cpn-k16-05-02,cpn-k16-24-02,cpn-k16-37-02
           7333977 general-c      4sv    arall  R   15:14:15      2 cpn-k14-38-01,cpn-k16-14-01
           7332879 general-c      q4s    arall  R   20:09:50      4 cpn-k08-06-02,cpn-k08-30-02,cpn-k10-03-02,cpn-k11-39-01
           7333048 general-c     sssp    arall  R   19:17:36      4 cpn-k07-12-02,cpn-k08-02-01,cpn-k08-06-01,cpn-k10-25-01
           7333050 general-c     ssdv    arall  R   19:17:36      4 cpn-k10-40-01,cpn-k11-38-01,cpn-k13-13-02,cpn-k13-35-02
           7332873 general-c    q3q4s    arall  R   20:42:01      4 cpn-k08-07-02,cpn-k08-29-02,cpn-k10-08-01,cpn-k10-15-01
           7332889 general-c    l4asv    arall  R   18:33:06      2 cpn-k14-06-02,cpn-k16-37-01
           7338821 general-c spla100s yiqichen  R    6:20:35      4 cpn-k10-08-02,cpn-k10-26-01,cpn-k10-38-01,cpn-k14-37-02
           7333045 general-c     ssdp    arall  R   19:17:36      3 cpn-k13-36-02,cpn-k14-17-02,cpn-k14-26-01
           7338833 general-c n300_dry  xliang5  R    6:16:32      4 cpn-k08-04-02,cpn-k08-08-02,cpn-k10-02-01,cpn-k10-07-02
           7338916 general-c  dpta100 yiqichen  R    5:25:58      4 cpn-k08-14-01,cpn-k10-27-02,cpn-k13-34-01,cpn-k14-04-02
           7338896 general-c   s3a10g yiqichen  R    5:46:14      4 cpn-k07-13-02,cpn-k13-18-02,cpn-k13-24-01,cpn-k13-25-02
           7338904 general-c dpla10s3 yiqichen  R    5:36:06      4 cpn-k11-30-01,cpn-k13-03-02,cpn-k14-03-02,cpn-k14-13-02
           7338899 general-c r1t_c4N_  xliang5  R    5:42:11      4 cpn-k07-05-01,cpn-k08-02-02,cpn-k08-03-02,cpn-k08-23-01
           7338696 general-c dpka100s yiqichen  R    8:14:07      4 cpn-k07-01-01,cpn-k07-02-02,cpn-k08-28-02,cpn-k13-16-01
           7332888 general-c   34a3sv    arall  R   19:13:35      2 cpn-k10-34-01,cpn-k16-12-02
           7332886 general-c TATS63SV    arall  R   19:15:35      2 cpn-k05-30-01,cpn-k06-21-01
           7332884 general-c    4a3sv    arall  R   21:00:06      2 cpn-k05-20-01,cpn-k06-39-01
           7338583 general-c 10k0.042  xliang5  R    9:46:24      2 cpn-k08-26-01,cpn-k10-04-02
           7338450 general-c 10s0.042  xliang5  R   10:40:30      2 cpn-k11-38-02,cpn-k13-16-02
           7339334 general-c   splrpm yiqichen  R      54:33      1 cpn-k10-19-01
           7339332 general-c   spkrpm yiqichen  R      54:51      1 cpn-k08-30-01
           7339005 general-c   dplrpm yiqichen  R    4:49:42      1 cpn-k13-40-01
           7338991 general-c   dpkrpm yiqichen  R    4:53:44      1 cpn-k13-07-02
           7338898 general-c spka10s3 yiqichen  R    5:42:11      1 cpn-k10-13-01
           7317627 general-c 6Lid411/ yudhajit  R 1-00:05:07      1 cpn-d16-11
           7317617 general-c 6Lid402/ yudhajit  R 1-01:23:26      1 cpn-d09-04-01
           7317618 general-c 6Lid403/ yudhajit  R 1-01:23:26      1 cpn-d09-39-01
           7317615 general-c 6Lid400/ yudhajit  R 1-01:27:27      1 cpn-d07-14-02
           7317616 general-c 6Lid401/ yudhajit  R 1-01:27:27      1 cpn-d09-19-01
           7317614 general-c  6Lid40/ yudhajit  R 1-01:29:27      1 cpn-d09-29-01
           7317612 general-c 6Lid399/ yudhajit  R 1-01:33:28      1 cpn-d09-10-02
           7317613 general-c   6Lid4/ yudhajit  R 1-01:33:28      1 cpn-d09-11-01
           7317582 general-c 6Lid373/ yudhajit  R 1-02:45:41      1 cpn-k08-07-01
           7317586 general-c 6Lid377/ yudhajit  R 1-02:43:41      1 cpn-k11-24-01
           7317574 general-c 6Lid366/ yudhajit  R 1-03:07:46      1 cpn-d07-26-01
           7317575 general-c 6Lid367/ yudhajit  R 1-03:07:46      1 cpn-d16-21
           7317571 general-c 6Lid363/ yudhajit  R 1-03:17:48      1 cpn-d16-36
           7317567 general-c  6Lid36/ yudhajit  R 1-03:39:53      1 cpn-d09-11-02
           7317534 general-c 6Lid331/ yudhajit  R 1-04:52:09      1 cpn-k08-15-01
           7317535 general-c 6Lid332/ yudhajit  R 1-04:52:09      1 cpn-k10-36-01
           7317539 general-c 6Lid335/ yudhajit  R 1-04:52:09      1 cpn-k16-17-02
           7317541 general-c 6Lid336/ yudhajit  R 1-04:52:09      1 cpn-k16-24-01
           7317547 general-c 6Lid341/ yudhajit  R 1-04:50:09      1 cpn-k14-03-01
           7317528 general-c 6Lid326/ yudhajit  R 1-04:56:10      1 cpn-k16-19-02
           7317496 general-c 6Lid299/ yudhajit  R 1-07:47:52      1 cpn-d09-37-01
           7317495 general-c 6Lid298/ yudhajit  R 1-07:49:53      1 cpn-d09-08-02
           7317488 general-c 6Lid291/ yudhajit  R 1-08:08:02      1 cpn-k14-35-01
           7317360 general-c 6Lid180/ yudhajit  R 1-12:39:08      1 cpn-d07-25-01
           7317342 general-c 6Lid164/ yudhajit  R 1-12:59:28      1 cpn-d16-39
           7317333 general-c 6Lid156/ yudhajit  R 1-15:41:19      1 cpn-d09-40-01
           7331941 general-c mut93_md sushreet  R    3:41:15      4 cpn-k11-23-01,cpn-k16-08-01,cpn-k16-15-02,cpn-k16-34-01
           7331938 general-c mut93_md sushreet  R    3:43:16      4 cpn-k08-04-01,cpn-k08-05-02,cpn-k08-29-01,cpn-k10-35-01
           7331937 general-c mut93_md sushreet  R    7:15:16      4 cpn-k05-39-01,cpn-k05-40-01,cpn-k06-11-02,cpn-k06-12-02
           7336030 general-c CF32_fg7 yudhajit  R      39:12      1 cpn-k16-23-01
           7335347 general-c 6Lid686/ yudhajit  R      44:57      1 cpn-d16-19
           7335346 general-c 6Lid685/ yudhajit  R      48:57      1 cpn-d14-33
           7335345 general-c 6Lid684/ yudhajit  R    1:07:47      1 cpn-f16-12
           7335344 general-c 6Lid683/ yudhajit  R    1:10:05      1 cpn-d15-16
           7335343 general-c 6Lid682/ yudhajit  R    1:10:07      1 cpn-d15-17
           7335342 general-c 6Lid681/ yudhajit  R    1:10:24      1 cpn-k10-14-01
           7335341 general-c 6Lid680/ yudhajit  R    1:10:26      1 cpn-k14-39-01
           7335340 general-c  6Lid68/ yudhajit  R    1:10:37      1 cpn-d15-15
           7335339 general-c 6Lid679/ yudhajit  R    1:10:56      1 cpn-d09-16-02
           7335338 general-c 6Lid678/ yudhajit  R    1:11:25      1 cpn-f16-06
           7335336 general-c 6Lid676/ yudhajit  R    1:11:33      1 cpn-d15-12
           7335337 general-c 6Lid677/ yudhajit  R    1:11:33      1 cpn-d15-14
           7336025 general-c CF32_fg4 yudhajit  R    1:17:20      1 cpn-k08-12-01
           7335333 general-c 6Lid674/ yudhajit  R    1:12:37      1 cpn-d15-05
           7335334 general-c 6Lid675/ yudhajit  R    1:12:37      1 cpn-k13-27-02
           7335331 general-c 6Lid672/ yudhajit  R    1:13:08      1 cpn-d15-09
           7335332 general-c 6Lid673/ yudhajit  R    1:13:08      1 cpn-d14-04
           7335330 general-c 6Lid671/ yudhajit  R    1:13:57      1 cpn-f16-15
           7335329 general-c 6Lid670/ yudhajit  R    1:14:35      1 cpn-k16-04-01
           7335328 general-c  6Lid67/ yudhajit  R    1:16:37      1 cpn-f16-14
           7319196 general-c   BVO_43 cmlaport  R 2-19:58:22      1 cpn-k14-18-02
           7336021 general-c CF32_fg1 yudhajit  R    1:27:00      1 cpn-k08-34-01
           7335327 general-c 6Lid669/ yudhajit  R    1:22:48      1 cpn-k08-16-02
           7335326 general-c 6Lid668/ yudhajit  R    1:25:13      1 cpn-d15-23
           7335325 general-c 6Lid667/ yudhajit  R    1:25:49      1 cpn-f16-05
           7335324 general-c 6Lid666/ yudhajit  R    1:26:28      1 cpn-k16-07-01
           7335320 general-c 6Lid662/ yudhajit  R    1:27:00      1 cpn-d14-36
           7335321 general-c 6Lid663/ yudhajit  R    1:27:00      1 cpn-d14-38
