 vector size (bytes) ,time (s)
       36101 ,  5.197525024414062E-005
       36201 ,  5.412101745605469E-005
       36301 ,  5.507469177246094E-005
       36401 ,  6.794929504394531E-005
       36501 ,  5.507469177246094E-005
       36601 ,  5.698204040527344E-005
       36701 ,  6.008148193359375E-005
       36801 ,  5.984306335449219E-005
       36901 ,  5.698204040527344E-005
       37001 ,  5.292892456054688E-005
       37101 ,  5.412101745605469E-005
       37201 ,  5.507469177246094E-005
       37301 ,  5.507469177246094E-005
       37401 ,  5.817413330078125E-005
       37501 ,  5.483627319335938E-005
       37601 ,  6.508827209472656E-005
       37701 ,  9.107589721679688E-005
       37801 ,  6.198883056640625E-005
       37901 ,  9.393692016601562E-005
       38001 ,  5.483627319335938E-005
       38101 ,  5.412101745605469E-005
       38201 ,  5.698204040527344E-005
       38301 ,  5.602836608886719E-005
       38401 ,  5.412101745605469E-005
       38501 ,  5.984306335449219E-005
       38601 ,  6.079673767089844E-005
       38701 ,  1.602172851562500E-004
       38801 ,  6.294250488281250E-005
       38901 ,  5.602836608886719E-005
       39001 ,  5.483627319335938E-005
       39101 ,  5.793571472167969E-005
       39201 ,  5.793571472167969E-005
       39301 ,  5.578994750976562E-005
       39401 ,  5.793571472167969E-005
       39501 ,  6.103515625000000E-005
       39601 ,  6.413459777832031E-005
       39701 ,  6.890296936035156E-005
       39801 ,  6.699562072753906E-005
       39901 ,  5.817413330078125E-005
       40001 ,  5.602836608886719E-005
       40101 ,  5.912780761718750E-005
       40201 ,  5.984306335449219E-005
       40301 ,  5.793571472167969E-005
       40401 ,  5.912780761718750E-005
       40501 ,  6.198883056640625E-005
       40601 ,  6.508827209472656E-005
       40701 ,  7.200241088867188E-005
       40801 ,  6.699562072753906E-005
       40901 ,  7.295608520507812E-005
       41001 ,  6.008148193359375E-005
       41101 ,  6.008148193359375E-005
       41201 ,  6.079673767089844E-005
       41301 ,  5.793571472167969E-005
       41401 ,  6.198883056640625E-005
       41501 ,  6.294250488281250E-005
       41601 ,  7.104873657226562E-005
       41701 ,  7.510185241699219E-005
       41801 ,  6.580352783203125E-005
       41901 ,  5.984306335449219E-005
       42001 ,  6.294250488281250E-005
       42101 ,  6.198883056640625E-005
       42201 ,  6.103515625000000E-005
       42301 ,  1.029968261718750E-004
       42401 ,  6.389617919921875E-005
       42501 ,  6.294250488281250E-005
       42601 ,  6.389617919921875E-005
       42701 ,  6.580352783203125E-005
       42801 ,  6.294250488281250E-005
       42901 ,  7.295608520507812E-005
       43001 ,  7.104873657226562E-005
       43101 ,  6.294250488281250E-005
       43201 ,  6.294250488281250E-005
       43301 ,  6.794929504394531E-005
       43401 ,  6.484985351562500E-005
       43501 ,  6.484985351562500E-005
       43601 ,  6.699562072753906E-005
       43701 ,  6.389617919921875E-005
       43801 ,  7.390975952148438E-005
       43901 ,  7.390975952148438E-005
       44001 ,  7.009506225585938E-005
       44101 ,  6.389617919921875E-005
       44201 ,  6.294250488281250E-005
